,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
6,16,SIA/HR/MIS/43755/2018,SEIAA/HR/19/10,Expansion of Group Housing Colony,M/S OASIS LANDMARKS LLP,EC Granted,EC,
7,17,SIA/HR/MIS/220406/2021,SEIAA/HR/2021/442,"Commercial Project at Village-Dhunela, Sector-36, Sohna, Gurugram, Haryana",M/S STERNAL BUILDCON PVT. LTD.,EC Granted,EC,
8,18,SIA/HR/MIS/61593/2021,SEIAA/HR/19/38,"PROPOSED DEVELOPMENT OF INTEGRATED RESIDENTIAL TOWNSHIP IN THE NAME OF ARDEE CITY (133.40 ACRES ALREADY DEVELOPED + 71.458 ACRES PROPOSED) AT SECTOR 52 AND SECTOR 57, GURUGRAM",M/S  ARDEE INFRASTRUCTURE PVT. LTD.,EC Granted,EC,
9,19,SIA/HR/MIS/109932/2019,SEIAA/HR/19/215 hard copy to be submitted,"Expansion Of Affordable Group Housing Project On 12.475 Acres Plot At Sector: 78 Faridabad, Haryana",CONSCIENT INFRASTRUCTURE PVT LTD.,EC Granted - Processed offline,EC,
10,20,SIA/HR/MIS/124351/2019,SEIAA/HR/19/227 hard copy to be submitted,"Revision and Expansion of Environment clearance of proposed commercial complex at sector 66, Maidawas, Gurugram Haryana.",FRENCH BUILD MART PVT LTD,EC Granted,EC,
1,21,SIA/HR/MIS/113992/2019,SEIAA/HR/19/221 hard copy to be submitted,"Affordable Residential Group Housing Project “Om Apartments” measuring 5.025 Acres in Sector-112, Village-Bajghera, Tehsil & District- Gurugram, Haryana",PAREENA BUILDERS AND PROMOTERS PRIVATE LIMITED,EC Granted,EC,
2,22,SIA/HR/MIS/HR/MIS/189290/2020,SEIAA/HR/VIO/19/23 hard copy to be submitted,Institutional “Office Building”,FOCUS ENERGY LTD,Rejection Letter Granted,EC,
3,23,SIA/HR/MIS/61220/2021,SEIAA/HR/2021/375,"Expansion cum Modification of Group Housing Project at Village- Palra, Sector- 70A, Gurgaon M/s Haamid Real Estate Pvt. Ltd.",M/S HAAMID REAL ESTATE PVT. LTD.,EC Granted,EC,
4,24,SIA/HR/IND2/224904/2021,File No. SEIAA/HR/2021/455 has been assigned. Hard,"Proposed Manufacturing Unit of Methylcobalamin (b12) 100 kg/month and by-product Sodium Iodide 2 kg/month at Plot No. – 17 Moja Patan  Arya Nagar, Distt.- Hisar, Haryana- 125001 by M/s Nutriley Pharmaceuticals Pvt. Ltd.",M/S NUTRILEY PHARMACEUTICALS PVT. LTD.,EC Granted,EC,
5,25,SIA/HR/MIS/69919/2021,SEIAA/HR/2021/460,"Proposed Group Housing Project at village- Wazirpur Sector-92 & 95, Gurugram, Haryana by M/s N.A Buildwell Pvt. Ltd. C/o M/s Raheja Developers Pvt. Ltd. And M/s Saan Procon Pvt. Ltd",M/S NA BUILDWELL PVT. LTD. C/O M/S RAHEJA DEVELOPERS PVT. LTD. AND M/S SAAN PROCON PVT. LTD,EC Granted,EC,
6,26,SIA/HR/MIS/68309/2021,SEIAA/HR/2021/435,"Development of Industrial Model Township (Phase-V) at Village- Lakhnoula, Naharpur Kasan, Tehsil- Manesar, Gurgaon, Haryana by Haryana State Industrial and Infrastructure Development Corporation Limited (HSIIDC)",HARYANA STATE INDUSTRIAL AND INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,EC Granted,EC,
7,27,SIA/HR/MIS/72462/2022,,"Proposed Expansion of Industrial Building on Plot No.31, Sector-18, Urban Estate Gurgaon, Haryana",M/S SMART CREATIVE BUILDWELL LLP,Delisted,EC,
8,28,SIA/HR/MIS/33775/2011,SEIAA/HR/19/101. TOR was granted by SEIAA in 117th,"Expansion of Group Housing Project Measuring 13.344 Acres at Village- Badshahpur, Sector-67, Gurgaon, Haryana",M/S CONSOLIDATE REALTORS PVT. LTD.,EC Granted,EC,
9,29,SIA/HR/MIS/102761/2019,SEIAA/HR/19/54 hard copy already submitted,Warehouse Project,FUTURE RETAIL DESTINATION,EC Granted,EC,
10,30,SIA/HR/MIS/199721/2021,SEIAA/HR/2021/374 hard copy to be submitted,"Proposed Commercial Colony (Retail, Multiplex & Food Court) at village- Adampur, Sector-50, Gurugram, Haryana by M/s Pyramid City Projects LLP & Others in Collaboration with Elan Ltd",M/S PYRAMID CITY PROJECTS LLP & OTHERS IN COLLABORATION WITH ELAN LTD.,EC Granted,EC,
1,31,SIA/HR/MIS/78733/2021,SEIAA/HR/2022/195,"Expansion of Proposed Commercial Colony of area measuring 7.443 Acres in sector-74, Gurugram, Haryana",PROMPT ENGINEERING PVT LTD,EC Granted,EC,
2,32,SIA/HR/MIS/279545/2022,SEIAA/HR/2022/214,"Proposed Commercial complex on land admeasuring 14326.37 sqm situated at site / building no.4, Sector 43, urban Estate Gurgaon II, Gurugram, Haryana",LEKH BUILDTECH PRIVATE LIMITED,EC Granted,EC,
3,33,SIA/HR/MIS/283695/2022,SEIAA/HR/2022/225,Commercial Colony in Sector-89 Gurugram,RECEPTIVE BUILDWELL LLP,EC Granted,EC,
4,34,SIA/HR/MIS/138680/2020,SEIAA/HR/2020/252 hard copy to be submitted,Expansion of Commercial Office Complex Signature Tower-III,UNITECH LIMITED,Delisted,EC,
5,35,SIA/HR/MIS/112113/2019,SEIAA/HR/19/183 hard copy to be submitted,"Proposed Commercial/Office Building ""MGF Centre""",KAYO DEVELOPERS PVT LTD,EC Granted - Processed offline,EC,
6,36,SIA/HR/MIS/68360/2015,SEIAA/HR/2022/200,Expansion of Group Housing Colony,SWETA ESTATES PVT LTD,EC Granted,EC,
7,37,SIA/HR/MIS/55750/2019,SEIAA/HR/19/236 hard copy to be submitted,"Revision & Expansion of Group Housing Colony (9.943 acre) falling in the Residential Plotted Colony ""BMG Elegant City"" (52.218 acre)",B. M. GUPTA DEVELOPERS PVT. LTD.,EC Granted,EC,
8,38,SIA/HR/MIS/252271/2022,SEIAA/HR/2022/121,"Commercial Colony in Sector-82 A, Gurugram being developed by M/s Newzone Buildwell Pvt. Ltd.",NEWZONE BUILDWELL PRIVATE LIMITED,EC Granted,EC,
9,39,SIA/HR/MIS/105550/2019,SEIAA/HR/VIO/19/15 hard copy to be submitted,"GROUP HOUSING COLONY “VIPUL GARDENS” IN SECTOR-1, VILLAGE-DHARUHERA (NH-8), DISTRICT–REWARI, HARYANA",MUDRA FINANCE LTD,EC Granted,EC,
10,40,SIA/HR/MIS/106187/2019,SEIAA/HR/19/172 hard copy to be submitted,Felix Housing (Phase I)-Group Housing Project,BARMALT INDIA PRIVATE LIMITED,EC Granted - Processed offline,EC,
1,41,SIA/HR/MIS/63763/2020,File No. SEIAA/HR/2020/342 has been assigned. Hard,"Proposed Development of India International Horticulture Market in an area of 221.3 Ha. (547 acre) at Village Teha&ShahpurTaga, Ganaur,Sonipat, Haryana",HARYANA INTERNATIONAL HORTICULTURE MARKETING CORPORATION LIMITED,EC Granted,EC,
2,42,SIA/HR/MIS/63482/2021,SEIAA/HR/2021/387 hard copy of the documents be su,proposed Common Effluent Treatment Plant (CETP) of 1.5 MLD capacity based on extended aeration system,HSIIDC NARWANA,EC Granted,EC,
3,43,SIA/HR/MIS/276205/2022,SEIAA/HR/2022/199,"Expansion of Commercial Complex Project at Sushant Lok, Sector-27, Gurugram Haryana",ASTHETIC TOWNSHIP DEVELOPERS PRIVATE LIMITED,EC Granted,EC,
4,44,SIA/HR/MIS/116686/2019,SEIAA/HR/19/200 hard copy to be submit,Non-agro Warehouse Project (27.37 acres),LI INDUSTRIAL PARKS PRIVATE LIMITED,EC Granted - Processed offline,EC,
5,45,SIA/HR/MIS/97853/2019,"SEIAA/HR/19/126

Hard copy to be submitted",Affordable Residential Plotted Colony (Site 3) Project (under Deen Dayal Jan Awas Yojna),M/S SIGNATURE GLOBAL HOMES PVT LTD,EC Granted,EC,
6,46,SIA/HR/MIS/184580/2020,SEIAA/HR/2020/344 hard copy to be submitted,"Proposed Affordable Plotted Colony under Deen Dayal Jan Awas Yojna Scheme-2016 of 10.71875 Acres (Phase-III) in the revenue estate of village Shimla Maulana, Sector-40, Panipat, Haryana by M/s Herman Properties Pvt. Ltd.",M/S HERMAN PROPERTIES PVT. LTD.,EC Granted,EC,
7,47,SIA/HR/IND2/176216/2020,SEIAA/HR/2020/324 hard copy to be submitted. Earli,"Proposed expansion in existing manufacturing facility of API, Biomolecules and Herbal Extracts at Plot-03, Sector-18, Phase-3, Industrial Estate Barhi, District- Sonipat, Tehsil- Gannaur, State– Haryana by M/s Cennet Biopharma Pvt. Ltd.",CENNET BIOPHARMA PVT LTD,EC Granted,EC,
8,48,SIA/HR/MIS/109754/2019,,"Commercial colony ""Edge Tower"" at Sector-114, Village-Bajghera, Gurugram, Haryana",RAHEJA DEVELOPERS LIMITED,Delisted,EC,
9,49,SIA/HR/IND3/68324/2021,SEIAA/HR/2021/461,"EC for Integrated Paint Manufacturing Unit in Plot No. 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61 & 62, HSIIDC Industrial Estate Panipat, Village Dadlana, Tehsil and Dist. Panipat, State Haryana.",GRASIM INDUSTRIES,EC Granted,EC,
10,50,SIA/HR/MIS/281697/2022,SEIAA/HR/2022/222,Environment Clearance forAffordable Group Housing Colony “ROF Ambliss”,PEGASUS LAND AND HOUSING PVT. LTD.,EC Granted,EC,
1,51,SIA/HR/MIS/164499/2020,SEIAA/HR/2020/307 hard copy to be submitted,22.31558 Ha (55.14 Acres) Warehouse Development Project,DADRI TOE WAREHOUSING PVT. LTD.,EC Granted,EC,
2,52,SIA/HR/MIS/75100/2018,SEIAA/HR/2022/167,"Expansion of Proposed Mixed Land Use colony under TOD Policy on land measuring 15.03125 acres in Sector-113, Gurgaon Manesar Urban Complex, Gurgaon, Haryana",M/S UNION BUILDMART PVT. LTD,Under examination of SEIAA after SEAC,EC,
3,53,SIA/HR/MIS/271393/2022,SEIAA/HR/2022/185,Proposed Commercial Project “G R Corporate Tower”,G R INFRAPROJECTS LIMITED,Rejection Letter Granted,EC,
4,54,SIA/HR/MIS/120328/2019,SEIAA/HR/19/218 hard copy to be submitted,Affordable GHP Amolik Sankalp,AMOLIK RESIDENCY LLP,EC Granted,EC,
5,55,SIA/HR/MIS/120664/2019,SEIAA/HR/19/219 hard copy to be submitted,"Renewal and Expansion of Environmental Clearance for “Office , Commercial and Hotel building project at village pawala khusrupur, Sector 109,Gurugram,  Haryana",SHRIMAYA BUILDCON PVT. LTD.,EC Granted,EC,
6,56,SIA/HR/MIS/124351/2019,SEIAA/HR/19/227 hard copy to be submitted,"Revision and Expansion of Environment clearance of proposed commercial complex at sector 66, Maidawas, Gurugram Haryana.",FRENCH BUILD MART PVT LTD,EC Granted,EC,
7,57,SIA/HR/MIS/135818/2020,SEIAA/HR/19/248 hard copy has to be submitted,EXPANSION OF COMMERCIAL PROJECT,PEBBLE DOWNTOWN INDIA PRIVATE LIMITED,EC Granted,EC,
8,58,SIA/HR/MIS/222209/2021,file No. SEIAA/HR/2021/444 has been assigned. Hard,"Proposed Warehouse Building (for Non Agro Produce) in the revenue estate at village Daboda, tehsil- Farrukhnagar, District-Gurugram, Haryana by M/s Honest Warehousing Pvt. Ltd. & Others",M/S HONEST WAREHOUSING PVT LTD & OTHERS,EC Granted,EC,
9,59,SIA/HR/MIS/279337/2022,SEIAA/HR/2022/213,Affordable Residential Plotted Colony Project under DDJAY by Global Horizon Holdings Private Limited,GLOBALHORIZON HOLDINGS PRIVATE LIMITED,EC Granted,EC,
10,60,SIA/HR/MIS/179712/2020,SEIAA/HR/2020/339,Expansion of Warehouse Project by Vertical Logistic Park LLP,VERTICAL LOGISTIC PARKS LLP,EC Granted,EC,
1,61,SIA/HR/MIN/73813/2018,SEIAA/HR/2022/153,Gravel  sand mining project at Shamtoo1 Block PKL B11,STAREX MINERALS,EC Granted,EC,
2,62,SIA/HR/IND2/199974/2021,SEIAA/HR/2021/390 hard copy to be submitted,Sarv Biolabs Pvt. Ltd,SARV BIOLABS PVT. LTD,EC Granted,EC,
3,63,SIA/HR/MIS/72464/2022,SEIAA/HR/2022/143,"Affordable Group Housing Colony Project at Revenue estate of Village Harsaru, Sector-88A, Gurugram, Haryana",M/S YOHAAN BUILDCON LLP,EC Granted,EC,
4,64,SIA/HR/MIS/100035/2019,"SEIAA/HR/19/56

Hard copy to be submitted",“Warehouse/ Industrial Storage/ Logistics/Assembling Park”,"INDOSPACE LUHARI 3A PVT. LTD.,  INDOSPACE LUHARI 3B PVT. LTD.,  INDOSPACE LUHARI 3C PVT. LTD., INDOSPACE LUHARI 3D PVT. LTD., INDOSPACE LUHARI 3E PVT. LTD., & INDOSPACE LUHARI 3F PVT. LTD.",EC Granted - Processed offline,EC,
5,65,SIA/HR/MIS/140350/2020,SEIAA/HR/2020/256,Commercial Complex,SHREE ENERGY DEVELOPERS PVT LTD,EC Granted,EC,
6,66,SIA/HR/MIS/212461/2021,File No. SEIAA/HR/VIO/21/32 has been assigned. App,"Expansion of Warehouse (For storage of commercial goods) at Village- Binola & Bhora Kalan, District- Gurugram, Haryana By M/s Skymettle Infrastructure Pvt Ltd",M/S SKYMETTLE INFRASTRUCTURES PVT LTD,Rejection Letter Granted,EC,
7,67,SIA/HR/MIS/112113/2019,SEIAA/HR/19/183 hard copy to be submitted,"Proposed Commercial/Office Building ""MGF Centre""",KAYO DEVELOPERS PVT LTD,EC Granted - Processed offline,EC,
8,68,SIA/HR/MIS/187424/2020,SEIAA/HR/2021/398,"Expansion of Group Housing Colony at sector 32, village Dhunela, Tehsil Sohna, District Gurgaon, Haryana",M/S ST. PATRICKS REALTY PVT. LTD..,EC Granted,EC,
9,69,SIA/HR/MIS/98050/2019,SEIAA/HR/19/179,"Affordable Group Housing Project at Village Khera & Bhatauli, Sector 20, Yamunanagar- Jagadhri, District Yamunanagar, Haryana by M/s Pandit  Land & Infrastructure Pvt. Ltd.",M/S PANDIT  LAND & INFRASTRUCTURE PVT. LTD.,Rejection Letter Granted,EC,
10,70,SIA/HR/MIS/32091/2018,"SEIAA/HR/VIO/19/02

Hard copy to be submitted","Commercial Complex ""Spaze Arrow""",SPAZE TOWERS PVT LTD,EC Granted,EC,
1,71,SIA/HR/MIS/118527/2019,SEIAA/HR/19/208 hard copy has t o be submitted,Expansion cum Modification of Group Housing Scheme,M/S RAJ BUILDWELL PVT. LTD.,Rejection Letter Granted,EC,
2,72,SIA/HR/THE/63370/2020,file No. SEIAA/HR/2020/303 has been assigned. Hard,"Proposed 18MW Baggase based Cogeneration power plant at Village- Sheikhpura Jagir, Tehsil & District- Karnal, Haryana by M/s The Karnal Co-Operative Sugar Mills Ltd",KARNAL CO-OPERATIVE SUGAR MILL LTD,Rejection Letter Granted,EC,
3,73,SIA/HR/MIS/38652/2017,SEIAA/HR/19/182 hard copy to be submitted,98.836 Ha Township Development,MODEL ECONOMIC TOWNSHIP LIMITED  FORMERLY KNOWN AS RELIANCE HARYANA SEZ LIMITED,EC Granted - Processed offline,EC,
4,74,SIA/HR/MIS/191638/2021,SEIAA/HR/2020/356,"Expansion of Commercial Colony at Sector- 37, Faridabad, Haryana by M/s MPDL Limited.",M/S MPDL LIMITED.,EC Granted,EC,
5,75,SIA/HR/MIS/164499/2020,SEIAA/HR/2020/307 hard copy to be submitted,22.31558 Ha (55.14 Acres) Warehouse Development Project,DADRI TOE WAREHOUSING PVT. LTD.,EC Granted,EC,
6,76,SIA/HR/IND2/176576/2020,SEIAA/HR/2020/322 hard copy to be submitted,Bulk Drugs & Intermediates Manufacturing Unit of ARMN Pharmaceutical India Pvt. Ltd.,M/S ARMN PHARMACEUTICAL INDIA PRIVATE LIMITED,EC Granted,EC,
7,77,SIA/HR/MIS/201002/2021,SEIAA/HR/2021/376 hard copy to be submitted,"Expansion of Affordable Group Housing Colony Project (5.056 Acres) at Village - Hayatpur, Sector-89, Gurugrarn, Haryana",SIGNATURE INFRABUILD PRIVATE LTD,EC Granted,EC,
8,78,SIA/HR/MIS/275278/2022,,Revision & Expansion of Group Housing Project “Orion Galaxy”,SONI INFRATECH PRIVATE LIMITED,Delisted,EC,
9,79,SIA/HR/MIS/193571/2021,SEIAA/HR/2020/362 hard copy to be submitted,"Affordable Residential Plotted Colony Project under DDJAY-2016 (13.168 Acres) is located at Village-Nakhrola, Sector-81, Gurugram, Haryana by M/s Emaar India Limited.",M/S EMAAR INDIA LIMITED,EC Granted,EC,
10,80,SIA/HR/IND2/44124/1990,SEIAA/HR/19/176. TOR approved by SEIAA vide letter,"Proposed Manufacturing unit of API & Biomolecules (capacity-17.46 MTPA) at Plot-03, Sector-18, Phase-3, Industrial Estate Barhi, District - Sonipat, Tehsil –Gannaur, State – Haryana",CENNET BIOPHARMA PVT LTD,EC Granted - Processed offline,EC,
1,81,SIA/HR/MIS/111415/2019,,French Build Mart Pvt Ltd,FRENCH BUILD MART PVT LTD,Delisted,EC,
2,82,SIA/HR/MIS/63806/2020,file No. SEIAA/HR/19/228 has been assigned. Hard c,"Proposed Construction of Road & Parking in Sector- 25 (Resi.), Rohtak, Haryana",HUDA ROHTAK,EC Granted,EC,
3,83,SIA/HR/MIS/241569/2021,SEIAA/HR/2021/499,"Expansion of Industrial Unit located in revenue estate of village-Baghola, District-Palwal, Haryana",M/S KNORR BREMSE INDIA PVT. LTD.,Rejection Letter Granted,EC,
4,84,SIA/HR/MIS/54579/2018,SEIAA/HR/19/98 hard copy to be submitted,proposed 1.5 MLD CETP based on extended aeration system,HSIIDC NARWANA,Rejection Letter Granted,EC,
5,85,SIA/HR/MIS/163277/2020,SEIAA/HR/2020/297,"Revision and Expansion of Group Housing project at village-Hayatpur, Sec-90, Gurugram, Haryana",AGGARWAL DEVELOPERS PVT. LTD.,EC Granted,EC,
6,86,SIA/HR/IND2/61714/2021,SEIAA/HR/2021/367 hard copy to be submitted,"Proposed unit for Manufacturing of Formaldehyde 150 M.T per day at Plot No. W-9, Industrial area Yamunanagar, Haryana by M/s Globe Panel Industries India Pvt. Ltd. Unit-7.",M/S GLOBE PANEL INDUSTRIES INDIA PVT. LTD. UNIT-7,EC Granted,EC,
7,87,SIA/HR/MIS/110154/2019,SEIAA/HR/19/178,"The proposed project is Affordable Plotted Colony under Deen Dayal Jan Awas Yojna Scheme-2016 of 12.41875 Acres at Sector- 35, Revenue Estate Sohna, Distt Gurgaon, Haryana M/s Lion Infra Developers (L",M/S LION INFRADEVELOPERS LLP,Delisted,EC,
8,88,SIA/HR/MIS/128593/2019,SEIAA/HR/2020/337 hard copy to be submitted,"""Felix Plaza"" Commercial Colony (expansion)","SH. PRAMIL JINDAL & SMT. NEETA JINDAL  (FELIX PLAZA, AOP )",EC Granted,EC,
9,89,SIA/HR/MIS/212585/2021,SEIAA/HR/2021/418 hard copy to be submitted,"Modification of Commercial Complex “Summit Plaza” (Retail, Cinema & Office) at Sector-54, DLF-5, Gurugram, Haryana by M/s DLF Limited  & Others",M/S DLF LIMITED  & OTHERS,EC Granted,EC,
10,90,SIA/HR/MIS/117158/2019,SEIAA/HR/19/205,Warehouse (Logistics),GOKALDASWAREHOUSING CORPORATION,EC Granted - Processed offline,EC,
1,91,SIA/HR/MIS/184758/2020,SEIAA/HR/2020/346 hard copy to be submitted,"Expansion of Commercial Complex ""Baani City Center""",M/S AALIYAH REAL ESTATES PVT. LTD..,EC Granted,EC,
2,92,SIA/HR/MIS/260906/2022,SEIAA/HR/2022/135,"Revision & Expansion of Affordable Group Housing Colony “Amolik Sankalp” located in Revenue estate of Village Kheri Khalan, Sector-85, Distt. Faridabad, Haryana",AMOLIK RESIDENCY LLP,EC Granted,EC,
3,93,SIA/HR/MIS/104055/2019,SEIAA/HR/19/152,"IT-Park Project by M/s Titan Infracon LLP. at Village Tikri, Sector-48, Gurugram, Haryana",TITAN INFRACON LLP,Delisted,EC,
4,94,SIA/HR/MIS/121102/2019,SEIAA/HR/2020/291 Please submit hard copy along wi,"Proposed Multilevel Car Parking & Retail project at Kaman Sarai, Adarsh Nagar, Sector-12, Ward 18, Gurugram, Haryana by Municipal Corporation Gurugram",GURUGRAM MUNICIPAL CORPORATION,EC Granted,EC,
5,95,SIA/HR/MIS/102556/2019,SEIAA/HR/19/50,Proposed commercial colony 'AIPL Joy Gallery',R.C. SOOD & COMPANY PVT. LTD.,Delisted,EC,
6,96,SIA/HR/MIS/141303/2020,SEIAA/HR/19/262 hard copy to be submitted,"Expansion of Proposed Group Housing Project At  Village Unchagaon,  Sector 63, District - Faridabad, Haryana",M/S GPM DEVELOPERS PVT. LTD.,EC Granted,EC,
7,97,SIA/HR/NCP/25690/2018,SEIAA/HR/2022/117,Global City Project in Haryana under DMIC Project,DMIC HARYANA GLOBAL CITY PROJECT LIMITED,EC Granted,EC,
8,98,SIA/HR/MIS/131705/2019,SEIAA/HR/19/237,"Expansion of Affordable Group Housing Colony at Village- Wazirpur, Sec- 92, Gurugram, Haryana by M/s GLS Infraprojects Pvt. Ltd.",M/S GLS INFRAPROJECTS PVT. LTD.,EC Granted,EC,
9,99,SIA/HR/MIS/131901/2019,SEIAA/HR/19/239,"Expansion & Modernization of Group Housing Project at Village- Naurangpur, Sector-79, Gurugram-Manesar Urban Complex by M/s Bestech India Pvt. Ltd.",M/S BESTECH INDIA PVT. LTD.,EC Granted,EC,
10,100,SIA/HR/MIS/148104/2020,,"Expansion Project namely "" Amravati Enclave Expansion Project"" at NH-22, Village- Bhagwanpur, Islamnagar and Chandi Mandir, Panchkula, Haryana by M/s Amarnath Aggarwal Investment (P) Ltd.",AMAR NATH AGGARWAL INVESTMENT PRIVATE LIMITED,Delisted,EC,
1,101,SIA/HR/MIS/105627/2019,SEIAA/HR/19/127 file number has already granted. H,Affordable Group Housing Colony,AGRANTE REALTY LTD,EC Granted,EC,
2,102,SIA/HR/NCP/53080/2010,SEIAA/HR/2020/270. ToR Letter issued SEIAA(125)/HR,"Expansion of “SGT University” (Medical College cum Hospital and Research Institute) at Village-Budhera Dist.-Gurugram, Haryana being developed by M/s Dashmesh Educational Charitable Trust.",M/S DASHMESH EDUCATIONAL CHARITABLE TRUST,EC Granted,EC,
3,103,SIA/HR/MIS/214414/2021,File No. SEIAA/HR/2021/426 has been assigned,Affordable Group Housing Colony Project,M/S MEGA INFRATECH PVT. LTD.,EC Granted,EC,
4,104,SIA/HR/MIS/215355/2021,File No. SEIAA/HR/2021/432 has been assigned. Hard,“VSR Mall” (Known as 114 Avenue) (Retail Cum Office Complex),M/S VSR INFRATECH PVT LTD,Rejection Letter Granted,EC,
5,105,SIA/HR/MIS/62518/2021,file No. SEIAA/HR/2021/400 has been generated,"Warehouse and Industrial Shed Project (54.70 Ha) 62 Milestone,  Village -Rathiwas, Bhudka & Bhodakalan,  Dist.-Gurugram, Haryana",M/S CRYSTAL CITY  DEVELOPERS PVT. LTD.,EC Granted,EC,
6,106,SIA/HR/MIS/141303/2020,SEIAA/HR/19/262 hard copy to be submitted,"Expansion of Proposed Group Housing Project At  Village Unchagaon,  Sector 63, District - Faridabad, Haryana",M/S GPM DEVELOPERS PVT. LTD.,EC Granted,EC,
7,107,SIA/HR/MIS/72459/2022,SEIAA/HR/2022/141,Residential Plotted Colony under Deen Dayal Jan Awas Yojna Affordable Housing Policy – 2016 by M/s Lalwani Brothers Buildcon LLP in collaboration with Rose Building Solutions Pvt. Ltd.,ROSE BUILDING SOLUTIONS PRIVATE LIMITED,EC Granted,EC,
8,108,SIA/HR/MIS/104055/2019,SEIAA/HR/19/152,"IT-Park Project by M/s Titan Infracon LLP. at Village Tikri, Sector-48, Gurugram, Haryana",TITAN INFRACON LLP,Delisted,EC,
9,109,SIA/HR/MIS/124832/2019,SEIAA/HR/19/223. Hard copy to be submitted.,Logicsoft E Solutions Ltd.,LOGIC SOFT E-SOLUTIONS LIMITED,EC Granted,EC,
